证券代码,"市盈率(PE,TTM)
[交易日期]3月前","市销率(PS，TTM)
[交易日期]3月前","净资产收益率ROE(TTM)
[交易日期]3月前
[单位]%
[TTM基准日]报表公告日期","总资产报酬率ROA(TTM)
[交易日期]3月前
[单位]%
[TTM基准日]报表公告日期","企业倍数(EV2/EBITDA)
[交易日期]3月前","BIAS乖离率
[交易日期]3月前
[周期]20
[复权方式]不复权
[计算周期]日
[单位]%","RSI相对强弱指标
[交易日期]3月前
[周期]14
[复权方式]不复权
[计算周期]日","换手率
[交易日期]3月前
[单位]%","营业利润/营业总收入(TTM)
[交易日期]3月前
[单位]%
[TTM基准日]报表公告日期","月收盘价
[交易日期]2020-03-19
[复权方式]不复权","月收盘价
[交易日期]2020-04-17
[复权方式]不复权"
000425.SZ,11.031,0.7326,10.7201,4.9301,9.1258,-6.2588,43.2521,1.4106,7.1107,5.05,5.55
000426.SZ,-10.3809,7.1628,-15.6567,-6.2796,21.6556,-11.8738,36.2754,0.6984,-57.6574,5.26,5.1
000428.SZ,-7.0418,2.8199,-17.5911,-6.042,12.5016,7.4423,58.1672,2.0635,-35.3282,2.8,3.55
000429.SZ,10.9139,4.4921,12.8125,11.9353,5.7336,-10.9816,11.9303,0.2873,58.9039,6.76,7.4
000430.SZ,174.5447,4.6865,0.715,0.6461,19.7356,0.0608,51.478,1.2594,3.9352,4.72,4.85
000488.SZ,11.8947,0.476,4.3561,4.1228,6.8368,-5.2143,37.9597,1.2466,4.3375,4.78,4.91
000498.SZ,8.9216,0.2502,11.7087,3.8318,7.9331,-1.4948,51.6677,1.3657,4.81,5.45,5.18
000501.SZ,7.6524,0.4705,11.4123,6.2,4.9045,-3.2085,45.2329,2.3996,8.6797,11.48,11.07
000502.SZ,50.0351,104.2246,17.0434,12.4876,-159.5864,18.643,65.0969,17.97,160.015,6.64,6.46
000503.SZ,-55.9497,120.4653,-18.0454,-17.3851,311.3867,-9.154,34.8007,1.5895,-208.9446,12.56,10.94
000505.SZ,24.9264,0.5396,6.2777,5.9595,10.4757,-4.3471,44.869,2.6288,3.2609,7.73,8.3
000506.SZ,140.5199,5.2352,1.6089,3.0715,15.4855,-11.7952,36.1619,1.7093,-2.0532,2.69,2.4
000507.SZ,27.4294,1.4653,3.309,3.6298,9.9516,-3.4996,40.1405,1.6475,7.4495,5.08,5.04
000510.SZ,39.3283,1.1287,6.2812,5.4035,13.5757,-11.3952,38.3749,1.659,3.694,3.85,3.97
000513.SZ,26.8369,3.4055,10.5842,7.5721,10.9526,-8.2891,32.9995,1.179,16.5947,39.28,39.78
000514.SZ,134.9606,9.4876,0.7562,1.0211,5.788,-4.1479,44.1139,0.8721,4.1426,4.22,3.88
000516.SZ,-130.1954,9.8565,-1.3686,-0.4096,-51.4369,-6.286,34.9963,1.5488,-4.7428,4.19,4.04
000517.SZ,9.7218,1.9865,12.6998,2.4641,4.454,-9.2654,37.5214,0.8243,20.7959,2.69,2.58
000518.SZ,-485.0963,12.8215,-1.7227,-0.4187,101.2993,-13.5116,40.8905,3.0908,-1.6257,4.6,4.06
000519.SZ,26.0812,1.8335,4.5124,3.4029,10.1306,-7.4681,40.0503,1.3786,7.9788,6.98,8.39
000520.SZ,125.4682,4.831,7.5548,5.8245,75.444,-3.8534,47.0501,0.7176,4.0781,3.74,3.72
000521.SZ,63.1362,0.1964,1.0744,0.2234,7.8895,-5.9743,43.7105,1.7882,0.3871,3.24,2.82
000523.SZ,118.9446,0.3259,1.7995,1.8498,28.439,-6.8736,38.2284,1.3925,0.3529,6.67,5.65
000524.SZ,14.4842,0.511,10.5206,8.1662,3.8125,-5.2968,37.5867,0.8156,5.1909,5.96,6.25
000525.SZ,13.3162,0.8502,8.0348,4.8669,——,-17.9522,36.483,4.3215,8.1343,9.46,9.66
000526.SZ,521.657,1.5107,8.7076,2.9238,22.162,12.6832,70.5326,2.7782,1.3466,39.84,43.32
000528.SZ,9.6253,0.4889,9.244,4.2443,9.1778,-5.8255,40.9974,1.392,6.468,6.26,6.88
000529.SZ,17.8701,1.3093,12.152,10.3471,6.621,-8.3406,38.6866,1.4469,10.6499,6.91,6.98
000530.SZ,23.1353,1.7149,4.1844,2.9764,21.1315,-4.1384,46.2294,2.3283,7.8571,3.73,3.37
000531.SZ,11.3038,1.331,8.6829,6.6622,6.4838,-8.12,35.8252,0.464,19.7377,6.66,7.53
000532.SZ,58.9264,6.8854,6.9598,6.7143,21.6355,-9.7126,37.1556,1.9897,19.5261,9.92,10.73
000533.SZ,-1.9601,1.323,-154.3496,-49.0843,30.8831,-6.2445,45.1294,3.2548,-72.8153,2.61,2.85
000534.SZ,60.8855,7.8419,7.4564,4.3349,40.4138,-8.0351,37.5143,0.3335,13.3492,9.54,9.15
000537.SZ,3.9359,0.538,23.0863,5.6483,6.4534,-5.1767,40.5697,3.4314,17.8897,6.63,6.66
000538.SZ,27.0057,3.3806,9.3635,9.0259,17.9063,-5.0911,32.4652,0.8852,15.1687,85.55,90.32
000539.SZ,21.1327,0.6607,3.3406,4.3092,5.4277,-4.1264,34.6024,0.2011,7.395,3.54,3.47
000540.SZ,15.5975,0.9587,8.3483,2.609,19.7928,-11.5116,40.1995,0.8253,6.5514,3.11,3.13
